_id,id,asset_id,location,alternative_name,type,location_details,url,address,PostedDate,AssetName,Reason,Comments,Status,geometry,,,,,,,,,,Type of Fountains,,,
1,1000,74923,North Kipling Park,North Kipling Park Bottle Filling Station,Bottle Filling Station,"Located outside of North Kipling Community Centre, close to the parking lot.",https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1000,2729 Kipling Ave  ,2026-06-15T13:27:30,North Kipling Park Bottle Filling Station,Technical Issue,None,0,"{""coordinates"": [[-79.58469683999999, 43.75171561]], ""type"": ""MultiPoint""}",,,,,,,,,,type,,,
2,1748,2640,Scarboro Crescent Park,Scarboro Crescent Park Splash Pad Drinking Fountain,Drinking Fountain,Located north of the splash pad.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1748,61 Undercliff Dr  ,2026-06-15T10:50:32,Scarboro Crescent Park Splash Pad Drinking Fountain,None,None,1,"{""coordinates"": [[-79.24199339, 43.70520347]], ""type"": ""MultiPoint""}",,,,,,,,,,Bottle Filling Station,165,131,
3,22,75043,Rowntree Mills Park,Rowntree Mills Bottle Filling Station,Bottle Filling Station,Located in the fieldhouse/washroom building.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=22,155 Rowntree Mill Rd  ,2026-06-15T08:42:42,Rowntree Mills Bottle Filling Station,None,None,1,"{""coordinates"": [[-79.57796485, 43.75214566]], ""type"": ""MultiPoint""}",,,,,,,,,,Drinking Fountain,449,351,
4,2024,121932,Toronto Islands - Toronto Island Park,Toronto Islands - Toronto Island Park Water Tap,Water Tap,Located on the east side of the island on the north side of Avenue of the Islands pathway.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2024,9 Queens Quay  W,2026-06-14T12:06:51,Toronto Islands - Toronto Island Park Water Tap,None,None,1,"{""coordinates"": [[-79.37554984, 43.62061227]], ""type"": ""MultiPoint""}",,,,,,,,,,Water Tap,12,2,
5,2543,121931,Toronto Islands - Olympic Island,Toronto Islands - Olympic Island Picnic Site 18 Water Tap,Water Tap,Located south of Picnic Site #18 Drinking Fountain.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2543,9 Queens Quay  W,2026-06-14T12:04:26,Toronto Islands - Olympic Island Picnic Site 18 Water Tap,None,None,1,"{""coordinates"": [[-79.37525398000001, 43.622587290000006]], ""type"": ""MultiPoint""}",,,,,,,,,,"Bottle Filling Station, Drinking Fountain",65,58,
6,2725,18786,Toronto Islands - Centre Island,Toronto Islands - Centre Island West Fountain Drinking Fountain,Drinking Fountain,Located north of the west end ornamental fountains by the Pier.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2725,9 Queens Quay  W ,2026-06-14T11:57:49,Toronto Islands - Centre Island West Fountain Drinking Fountain,None,None,1,"{""coordinates"": [[-79.3732163, 43.617456540000006]], ""type"": ""MultiPoint""}",,,,,,,,,,"Bottle Filling Station, Drinking Fountain, Dog Fountain",24,22,
7,2725,18784,Toronto Islands - Centre Island,Toronto Islands - Centre Island South Pier Snack Bar Drinking Fountain,Drinking Fountain,Located west of the Centre Island Park Pier Snack Bar/Bike Rental building.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2725,9 Queens Quay  W ,2026-06-14T11:57:21,Toronto Islands - Centre Island South Pier Snack Bar Drinking Fountain,None,None,1,"{""coordinates"": [[-79.37229205000001, 43.61687673]], ""type"": ""MultiPoint""}",,,,,,,,,,"Drinking Fountain, Dog Fountain",61,60,
8,2725,18789,Toronto Islands - Centre Island,Toronto Islands - Centre Island Picnic Site 30 Drinking Fountain,Drinking Fountain,"Located on the south side of Picnic Site #30, southwest of the playground and splash pad.",https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2725,9 Queens Quay  W ,2026-06-14T11:56:44,Toronto Islands - Centre Island Picnic Site 30 Drinking Fountain,None,None,1,"{""coordinates"": [[-79.37470459000001, 43.61599478]], ""type"": ""MultiPoint""}",,,,,,,,,,Dog Fountain,20,19,
9,2725,2538,Toronto Islands - Centre Island,Toronto Islands - Centre Island Maze Hedge Drinking Fountain,Drinking Fountain,"Located west of the maze hedge, southeast corner of the snack/concession building.",https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2725,9 Queens Quay  W ,2026-06-14T11:55:20,Toronto Islands - Centre Island Maze Hedge Drinking Fountain,None,None,1,"{""coordinates"": [[-79.37547567, 43.61748763000001]], ""type"": ""MultiPoint""}",,,,,,,,,,"Bottle Filling Station, Dog Fountain",2,2,
10,2543,18747,Toronto Islands - Olympic Island,Toronto Islands - Olympic Island Lagoon Theatre Drinking Fountain,Drinking Fountain,Located northwest of the Olympic Island Park Lagoon Theatre on the north side of the pathway.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2543,9 Queens Quay  W ,2026-06-14T11:53:26,Toronto Islands - Olympic Island Lagoon Theatre Drinking Fountain,None,None,1,"{""coordinates"": [[-79.37657372, 43.62241575]], ""type"": ""MultiPoint""}",,,,,,,,,,0,,,
11,2725,102137,Toronto Islands - Centre Island,Toronto Islands - Centre Island North Pier Snack Bar Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located outside west of the Centre Island Park Pier Snack bar/Bike Rental building on the north side of the grassy area.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2725,9 Queens Quay  W ,2026-06-14T11:52:57,Toronto Islands - Centre Island North Pier Snack Bar Drinking Water Station,None,None,1,"{""coordinates"": [[-79.37236127999999, 43.61695598]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
12,2725,18783,Toronto Islands - Centre Island,Toronto Islands - Centre Island East Fountain Drinking Fountain,Drinking Fountain,Located north of the east end ornamental fountains by the Pier. ,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2725,9 Queens Quay  W ,2026-06-14T11:51:36,Toronto Islands - Centre Island East Fountain Drinking Fountain,None,None,1,"{""coordinates"": [[-79.37265206000001, 43.61773014]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
13,2725,18787,Toronto Islands - Centre Island,Toronto Islands - Centre Island Drinking Fountain,Drinking Fountain,Located at the northwest corner of the washroom building.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2725,9 Queens Quay  W ,2026-06-14T11:48:57,Toronto Islands - Centre Island Drinking Fountain,None,None,1,"{""coordinates"": [[-79.37610853, 43.617746679999996]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
14,2725,18782,Toronto Islands - Centre Island,Toronto Islands - Centre Island Boathouse Drinking Fountain,Drinking Fountain,Located southwest of the boathouse on the south side of the pathway.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2725,9 Queens Quay  W ,2026-06-14T11:48:08,Toronto Islands - Centre Island Boathouse Drinking Fountain,None,None,1,"{""coordinates"": [[-79.37189326999999, 43.61823316]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
15,2725,2534,Toronto Islands - Centre Island,Toronto Islands - Centre Island Disc Golf Drinking Fountain,Drinking Fountain,Located south of disc golf basket 10 and 12.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2725,9 Queens Quay  W ,2026-06-14T11:47:33,Toronto Islands - Centre Island Disc Golf Drinking Fountain,None,None,1,"{""coordinates"": [[-79.36799108000001, 43.61896401]], ""type"": ""MultiPoint""}",,,,,,,,,,Drinking Fountain,599,491,82.0
16,2024,2548,Toronto Islands - Toronto Island Park,Toronto Islands -  Toronto Island Park Concession Stand Drinking Fountain,Drinking Fountain,Located south of the snack/concession building near the Toronto-Centre Island ferry dock.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2024,9 Queens Quay  W ,2026-06-14T11:46:47,Toronto Islands -  Toronto Island Park Concession Stand Drinking Fountain,None,None,1,"{""coordinates"": [[-79.37903507, 43.62203812]], ""type"": ""MultiPoint""}",,,,,,,,,,Bottle Filling Station,256,213,83.2
17,1007,102018,Fairhaven Park,Fairhaven Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain, Dog Fountain",Located on the north side of the pathway east of the outdoor exercise equipment.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1007,100 Golfwood Hts  ,2026-06-12T09:05:35,Fairhaven Park Drinking Water Station,None,None,1,"{""coordinates"": [[-79.54657777999999, 43.703039100000005]], ""type"": ""MultiPoint""}",,,,,,,,,,Dog Fountain,107,103,96.3
18,1457,13256,Driftwood Park,Driftwood Park Playground Drinking Fountain,Drinking Fountain,Located in the centre of the park at the south end of the playground.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1457,44 Tobermory Dr  ,2026-06-09T08:22:50,Driftwood Park Playground Drinking Fountain,Maintenance/Repairs,awaiting repairs.,2,"{""coordinates"": [[-79.51283203, 43.762363]], ""type"": ""MultiPoint""}",,,,,,,,,,Water Tap,12,2,16.7
19,500,2493,Apted Park,Apted Park Drinking Fountain,Drinking Fountain,Located on the grassy area between the baseball diamond and the playground.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=500,50 Apted Ave  ,2026-06-09T08:04:57,Apted Park Drinking Fountain,None,None,1,"{""coordinates"": [[-79.57721948000001, 43.75535721]], ""type"": ""MultiPoint""}",,,,,,,,,,,974,,
20,257,102047,Vine Avenue Playground,Vine Avenue Playground Bottle Filling Station,Bottle Filling Station,"Located on the southeast corner of the park, south of the playground.",https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=257,200 Vine Ave  ,2026-06-09T07:56:55,Vine Avenue Playground Bottle Filling Station,None,None,1,"{""coordinates"": [[-79.47011374, 43.66673369]], ""type"": ""MultiPoint""}",,,,,,,,,,"Drinking 
Fountain",,,
21,259,75027,Wadsworth Park,Wadsworth Park Playground Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located south of the playground.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=259,120 Connolly St  ,2026-06-09T07:55:12,Wadsworth Park Playground Drinking Water Station,Closed for the Season,"Drinking fountain is constantly being filled with sand, cant stay open more then a day without being clogged. ",0,"{""coordinates"": [[-79.457165, 43.67214293]], ""type"": ""MultiPoint""}",,,,,,,,,,"Bottle 
Filling 
Station",,,
22,259,2355,Wadsworth Park,Wadsworth Park Wading Pool Drinking Fountain,Drinking Fountain,Located in the northeast corner of the wading pool.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=259,120 Connolly St  ,2026-06-09T07:54:01,Wadsworth Park Wading Pool Drinking Fountain,None,None,1,"{""coordinates"": [[-79.45690210000001, 43.6724746]], ""type"": ""MultiPoint""}",,,,,,,,,,"Dog 
Fountain",,,
23,235,102239,Runnymede Park,Runnymede Park Wading Pool Drinking Fountain,Drinking Fountain,Located north of the wading pool.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=235,221 Ryding Ave  ,2026-06-09T07:53:51,Runnymede Park Wading Pool Drinking Fountain,None,None,1,"{""coordinates"": [[-79.47723848, 43.66908968]], ""type"": ""MultiPoint""}",,,,,,,,,,"Water 
Tap",,,
24,236,2717,Oakcrest Parkette,Oakcrest Parkette Wading Pool Drinking Fountain,Drinking Fountain,Located next to the wading pool.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=236,30 Oakcrest Ave  ,2026-06-04T08:11:58,Oakcrest Parkette Wading Pool Drinking Fountain,None,None,1,"{""coordinates"": [[-79.31127448, 43.683512230000005]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
25,2443,77374,Linkwood Lane Park,Linkwood Lane Park Bottle Filling Station,Bottle Filling Station,Located next to the playground.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2443,10 Linkwood Lane  ,2026-06-02T06:55:07,Linkwood Lane Park Bottle Filling Station,None,None,1,"{""coordinates"": [[-79.32449882, 43.71583938]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
26,665,102042,Irving W. Chapley Park,Irving W. Chapley Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain, Dog Fountain","Located next to the parking lot, south of the baseball diamond.",https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=665,205 Wilmington Ave  ,2026-06-01T13:37:48,Irving W. Chapley Park Drinking Water Station,None,None,1,"{""coordinates"": [[-79.45577818, 43.761912409999994]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
27,2207,2421,Chater Court Park,Chater Court Park Drinking Fountain,Drinking Fountain,Located on the pathway between Englemount Avenue and the playground.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2207,1 Chater Crt  ,2026-05-29T14:19:24,Chater Court Park Drinking Fountain,None,None,1,"{""coordinates"": [[-79.43670526, 43.71418817]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
28,741,102149,Sandown Park,Sandown Park Splash Pad Bottle Filling Station,Bottle Filling Station,Located north of the splash pad along the pathway.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=741,50 Natal Ave  ,2026-05-29T12:00:54,Sandown Park Splash Pad Bottle Filling Station,None,None,1,"{""coordinates"": [[-79.25343495999999, 43.7095329]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
29,663,13277,Hullmar Park,Hullmar Park Drinking Fountain,Drinking Fountain,"Located on the south side of the north pathway, north of the baseball diamond.",https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=663,97 Hullmar Dr  ,2026-05-29T07:01:02,Hullmar Park Drinking Fountain,None,None,1,"{""coordinates"": [[-79.52583766000001, 43.76521343]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
30,648,2290,Grandravine Park,Grandravine Park Drinking Fountain,Drinking Fountain,Loacted on the grassy area south of the baseball diamond.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=648,23 Grandravine Dr  ,2026-05-29T06:59:13,Grandravine Park Drinking Fountain,None,None,1,"{""coordinates"": [[-79.49188984, 43.75114411]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
